th_year,year,changwat,male,female,summary
2567,2024,กรุงเทพมหานคร,27313,24791,52104
2567,2024,สมุทรปราการ,5360,5262,10622
2567,2024,นนทบุรี,3353,3132,6485
2567,2024,ปทุมธานี,4697,4325,9022
2567,2024,พระนครศรีอยุธยา,2689,2508,5197
2567,2024,อ่างทอง,651,621,1272
2567,2024,ลพบุรี,2075,1908,3983
2567,2024,สิงห์บุรี,591,558,1149
2567,2024,ชัยนาท,568,587,1155
2567,2024,สระบุรี,2455,2290,4745
2567,2024,ชลบุรี,10272,9667,19939
2567,2024,ระยอง,3899,3689,7588
2567,2024,จันทบุรี,2401,2266,4667
2567,2024,ตราด,740,744,1484
2567,2024,ฉะเชิงเทรา,2801,2531,5332
2567,2024,ปราจีนบุรี,2161,1997,4158
2567,2024,นครนายก,1182,1141,2323
2567,2024,สระแก้ว,2056,1900,3956
2567,2024,นครราชสีมา,8098,7604,15702
2567,2024,บุรีรัมย์,4560,4226,8786
2567,2024,สุรินทร์,3900,3639,7539
2567,2024,ศรีสะเกษ,3690,3763,7453
2567,2024,อุบลราชธานี,6393,5898,12291
2567,2024,ยโสธร,1316,1286,2602
2567,2024,ชัยภูมิ,2788,2753,5541
2567,2024,อำนาจเจริญ,1059,934,1993
2567,2024,บึงกาฬ,1324,1157,2481
2567,2024,หนองบัวลำภู,1240,1213,2453
2567,2024,ขอนแก่น,5614,5145,10759
2567,2024,อุดรธานี,4611,4399,9010
2567,2024,เลย,1921,1858,3779
2567,2024,หนองคาย,1531,1446,2977
2567,2024,มหาสารคาม,2064,2005,4069
2567,2024,ร้อยเอ็ด,2936,2720,5656
2567,2024,กาฬสินธุ์,2243,2150,4393
2567,2024,สกลนคร,3346,3335,6681
2567,2024,นครพนม,1918,1754,3672
2567,2024,มุกดาหาร,1215,1165,2380
2567,2024,เชียงใหม่,6871,6547,13418
2567,2024,ลำพูน,1150,1139,2289
2567,2024,ลำปาง,1480,1325,2805
2567,2024,อุตรดิตถ์,1033,1001,2034
2567,2024,แพร่,820,770,1590
2567,2024,น่าน,1374,1238,2612
2567,2024,พะเยา,1166,1110,2276
2567,2024,เชียงราย,4862,4594,9456
2567,2024,แม่ฮ่องสอน,1517,1482,2999
2567,2024,นครสวรรค์,2968,2773,5741
2567,2024,อุทัยธานี,901,860,1761
2567,2024,กำแพงเพชร,1766,1770,3536
2567,2024,ตาก,5984,5648,11632
2567,2024,สุโขทัย,1312,1167,2479
2567,2024,พิษณุโลก,2636,2521,5157
2567,2024,พิจิตร,1376,1258,2634
2567,2024,เพชรบูรณ์,2432,2267,4699
2567,2024,ราชบุรี,3061,2776,5837
2567,2024,กาญจนบุรี,3186,3023,6209
2567,2024,สุพรรณบุรี,2591,2533,5124
2567,2024,นครปฐม,2597,2449,5046
2567,2024,สมุทรสาคร,3123,2899,6022
2567,2024,สมุทรสงคราม,396,360,756
2567,2024,เพชรบุรี,1367,1353,2720
2567,2024,ประจวบคีรีขันธ์,2040,1893,3933
2567,2024,นครศรีธรรมราช,5289,5047,10336
2567,2024,กระบี่,2295,1992,4287
2567,2024,พังงา,712,681,1393
2567,2024,ภูเก็ต,2575,2415,4990
2567,2024,สุราษฎร์ธานี,4578,4188,8766
2567,2024,ระนอง,734,754,1488
2567,2024,ชุมพร,1923,1772,3695
2567,2024,สงขลา,6125,5754,11879
2567,2024,สตูล,1341,1240,2581
2567,2024,ตรัง,2133,2054,4187
2567,2024,พัทลุง,1387,1336,2723
2567,2024,ปัตตานี,4691,4346,9037
2567,2024,ยะลา,4524,4372,8896
2567,2024,นราธิวาส,5120,4699,9819